mask,faults,accepted,expected,agrees,code
0,,1,1,1,OK
1,source_digest,0,0,1,SOURCE_CHANGED
2,theme_version,0,0,1,THEME_CHANGED
3,source_digest;theme_version,0,0,1,SOURCE_CHANGED
4,principal,0,0,1,UNAUTHORIZED
5,source_digest;principal,0,0,1,SOURCE_CHANGED
6,theme_version;principal,0,0,1,THEME_CHANGED
7,source_digest;theme_version;principal,0,0,1,SOURCE_CHANGED
8,domain,0,0,1,WRONG_DOMAIN
9,source_digest;domain,0,0,1,SOURCE_CHANGED
10,theme_version;domain,0,0,1,THEME_CHANGED
11,source_digest;theme_version;domain,0,0,1,SOURCE_CHANGED
12,principal;domain,0,0,1,UNAUTHORIZED
13,source_digest;principal;domain,0,0,1,SOURCE_CHANGED
14,theme_version;principal;domain,0,0,1,THEME_CHANGED
15,source_digest;theme_version;principal;domain,0,0,1,SOURCE_CHANGED
16,period,0,0,1,STALE
17,source_digest;period,0,0,1,SOURCE_CHANGED
18,theme_version;period,0,0,1,THEME_CHANGED
19,source_digest;theme_version;period,0,0,1,SOURCE_CHANGED
20,principal;period,0,0,1,UNAUTHORIZED
21,source_digest;principal;period,0,0,1,SOURCE_CHANGED
22,theme_version;principal;period,0,0,1,THEME_CHANGED
23,source_digest;theme_version;principal;period,0,0,1,SOURCE_CHANGED
24,domain;period,0,0,1,WRONG_DOMAIN
25,source_digest;domain;period,0,0,1,SOURCE_CHANGED
26,theme_version;domain;period,0,0,1,THEME_CHANGED
27,source_digest;theme_version;domain;period,0,0,1,SOURCE_CHANGED
28,principal;domain;period,0,0,1,UNAUTHORIZED
29,source_digest;principal;domain;period,0,0,1,SOURCE_CHANGED
30,theme_version;principal;domain;period,0,0,1,THEME_CHANGED
31,source_digest;theme_version;principal;domain;period,0,0,1,SOURCE_CHANGED
32,unit,0,0,1,SEMANTIC_MISMATCH
33,source_digest;unit,0,0,1,SOURCE_CHANGED
34,theme_version;unit,0,0,1,THEME_CHANGED
35,source_digest;theme_version;unit,0,0,1,SOURCE_CHANGED
36,principal;unit,0,0,1,UNAUTHORIZED
37,source_digest;principal;unit,0,0,1,SOURCE_CHANGED
38,theme_version;principal;unit,0,0,1,THEME_CHANGED
39,source_digest;theme_version;principal;unit,0,0,1,SOURCE_CHANGED
40,domain;unit,0,0,1,WRONG_DOMAIN
41,source_digest;domain;unit,0,0,1,SOURCE_CHANGED
42,theme_version;domain;unit,0,0,1,THEME_CHANGED
43,source_digest;theme_version;domain;unit,0,0,1,SOURCE_CHANGED
44,principal;domain;unit,0,0,1,UNAUTHORIZED
45,source_digest;principal;domain;unit,0,0,1,SOURCE_CHANGED
46,theme_version;principal;domain;unit,0,0,1,THEME_CHANGED
47,source_digest;theme_version;principal;domain;unit,0,0,1,SOURCE_CHANGED
48,period;unit,0,0,1,STALE
49,source_digest;period;unit,0,0,1,SOURCE_CHANGED
50,theme_version;period;unit,0,0,1,THEME_CHANGED
51,source_digest;theme_version;period;unit,0,0,1,SOURCE_CHANGED
52,principal;period;unit,0,0,1,UNAUTHORIZED
53,source_digest;principal;period;unit,0,0,1,SOURCE_CHANGED
54,theme_version;principal;period;unit,0,0,1,THEME_CHANGED
55,source_digest;theme_version;principal;period;unit,0,0,1,SOURCE_CHANGED
56,domain;period;unit,0,0,1,WRONG_DOMAIN
57,source_digest;domain;period;unit,0,0,1,SOURCE_CHANGED
58,theme_version;domain;period;unit,0,0,1,THEME_CHANGED
59,source_digest;theme_version;domain;period;unit,0,0,1,SOURCE_CHANGED
60,principal;domain;period;unit,0,0,1,UNAUTHORIZED
61,source_digest;principal;domain;period;unit,0,0,1,SOURCE_CHANGED
62,theme_version;principal;domain;period;unit,0,0,1,THEME_CHANGED
63,source_digest;theme_version;principal;domain;period;unit,0,0,1,SOURCE_CHANGED
64,rationale_id,0,0,1,UNAPPROVED_RATIONALE
65,source_digest;rationale_id,0,0,1,SOURCE_CHANGED
66,theme_version;rationale_id,0,0,1,THEME_CHANGED
67,source_digest;theme_version;rationale_id,0,0,1,SOURCE_CHANGED
68,principal;rationale_id,0,0,1,UNAUTHORIZED
69,source_digest;principal;rationale_id,0,0,1,SOURCE_CHANGED
70,theme_version;principal;rationale_id,0,0,1,THEME_CHANGED
71,source_digest;theme_version;principal;rationale_id,0,0,1,SOURCE_CHANGED
72,domain;rationale_id,0,0,1,WRONG_DOMAIN
73,source_digest;domain;rationale_id,0,0,1,SOURCE_CHANGED
74,theme_version;domain;rationale_id,0,0,1,THEME_CHANGED
75,source_digest;theme_version;domain;rationale_id,0,0,1,SOURCE_CHANGED
76,principal;domain;rationale_id,0,0,1,UNAUTHORIZED
77,source_digest;principal;domain;rationale_id,0,0,1,SOURCE_CHANGED
78,theme_version;principal;domain;rationale_id,0,0,1,THEME_CHANGED
79,source_digest;theme_version;principal;domain;rationale_id,0,0,1,SOURCE_CHANGED
80,period;rationale_id,0,0,1,STALE
81,source_digest;period;rationale_id,0,0,1,SOURCE_CHANGED
82,theme_version;period;rationale_id,0,0,1,THEME_CHANGED
83,source_digest;theme_version;period;rationale_id,0,0,1,SOURCE_CHANGED
84,principal;period;rationale_id,0,0,1,UNAUTHORIZED
85,source_digest;principal;period;rationale_id,0,0,1,SOURCE_CHANGED
86,theme_version;principal;period;rationale_id,0,0,1,THEME_CHANGED
